page,tier,code,label,ps,mooe,co,total
27,2,,Regional Office XII - Proper,11530000,152000,,11682000
27,1,,Region XIII - CARAGA,19862000,152000,,20014000
27,2,,Regional Office XIII - Proper,19862000,152000,,20014000
27,1,200000100332000,"Payments of Contractual Obligations, VAT and Other Taxes",,,1000000000,1000000000
27,1,,National Capital Region (NCR),,,1000000000,1000000000
27,2,,Central Office,,,1000000000,1000000000
27,1,200000100491000,"Maintenance, Repair and Rehabilitation of Infrastructure Facilities and Other Related Activities Repair and Maintenance of Road Safety Facilities",,2309297000,,2309297000
27,1,,National Capital Region (NCR),,2309297000,,2309297000
27,2,,Central Office,,2309297000,,2309297000
27,1,200000101319000,"Maintenance, Repair Rehabilitation of Infrastructure Facilities and Other Related Activities Operations / Infrastructure Planning of Infrastructure Projects",,30000000,,30000000
27,1,,National Capital Region (NCR),,30000000,,30000000
27,2,,Central Office,,30000000,,30000000
27,1,200000101460000,Pre-Feasibility Study / Feasibility Study / Preliminary and Detailed Engineering,,,10578143000,10578143000
27,1,,National Capital Region (NCR),,,10578143000,10578143000
27,2,,Central Office,,,10578143000,10578143000
27,1,200000101461000,Payments of,,,15724210000,15724210000
27,1,,Right-of-Way (ROW) National Capital Region (NCR),,,15724210000,15724210000
27,2,,Central Office,,,15724210000,15724210000
27,1,200000101462000,Operations and Maintenance of National Hydrologic Data Collection Program (NHDCP),,47087000,,47087000
27,1,,National Capital Region (NCR),,47087000,,47087000
27,2,,Central Office,,47087000,,47087000
28,1,200000101560000,"Maintenance, Repair and Rehabilitation of Infrastructure Facilities and Other Related Activities - Maintenance and Operations of Dredging and Support Equipment for By-Administration Dredging Projects",,1139412000,,1139412000
28,1,,National Capital Region (NCR),,1139412000,,1139412000
28,2,,Central Office,,1139412000,,1139412000
28,1,200000101561000,"Maintenance, Repair and Rehabilitation of Infrastructure Facilities and Other Related Activities - Repair, Calibration, and Maintenance of Laboratory Equipment",,27150000,,27150000
28,1,,National Capital Region (NCR),,27150000,,27150000
28,2,,Central Office,,27150000,,27150000
28,,,"Sub-total, Support to Operations",1127307000,23179988000,27302353000,51609648000
28,1,300000000000000,Operations,,,440741388000,440741388000
28,1,310100000000000,ASSET PRESERVATION PROGRAM,,,68418283000,68418283000
28,1,310101000000000,Preventive Maintenance Primary Roads,,,13343175000,13343175000
28,1,310101100238000,Preventive Maintenance Primary Roads,,,13343175000,13343175000
28,1,,National Capital Region (NCR),,,11470327000,11470327000
28,2,,Central Office,,,11449754000,11449754000
28,2,,Quezon City 2nd District Engineering Office,,,20573000,20573000
28,1,,Region I - Ilocos,,,105087000,105087000
28,2,,Ilocos Norte 1st District Engineering Office,,,49232000,49232000
