page,tier,label,amounts
128,6,Benguet 1st District Engineering Office,21627000
128,6,Benguet 2nd District Engineering Office,15832000
128,6,Baguio City District Engineering Office,8193000
128,6,Ifugao 1st District Engineering Office,6369000
128,6,Ifugao 2nd District Engineering Office,7716000
128,6,Lower Kalinga District Engineering Office,12262000
128,6,Upper Kalinga District Engineering Office,5806000
128,6,Mt. Province District Engineering Office,7941000
128,6,Mountain Province 2nd District Engineering Office,5289000
128,5,Region II,119021000
128,6,Batanes District Engineering Office,2592000
128,6,Cagayan 1st District Engineering Office,16656000
128,6,Cagayan 2nd District Engineering Office,13934000
128,6,Cagayan 3rd District Engineering Office,14751000
128,6,Isabela 1st District Engineering Office,12626000
128,6,Isabela 2nd District Engineering Office,6856000
128,6,Isabela 3rd District Engineering Office,10714000
128,6,Isabela 4th District Engineering Office,11732000
128,6,Nueva Vizcaya 1st District Engineering Office,7778000
128,6,Nueva Vizcaya 2nd District Engineering Office,9754000
128,6,Quirino District Engineering Office,11628000
128,5,Region III,165633000
128,6,Aurora District Engineering Office,10255000
128,6,Bataan 1st District Engineering Office,3937000
128,6,Bataan 2nd District Engineering Office,4565000
129,6,Bataan 3rd District Engineering Office,8435000
129,6,Bulacan 1st District Engineering Office,15512000
129,6,Bulacan 2nd District Engineering Office,6673000
129,6,Bulacan 3rd District Engineering Office,5596000
129,6,Nueva Ecija 1st District Engineering Office,23095000
129,6,Nueva Ecija 2nd District Engineering Office,15481000
129,6,Pampanga 1st District Engineering Office,16582000
129,6,Pampanga 2nd District Engineering Office,4483000
129,6,Pampanga 3rd District Engineering Office,3448000
129,6,Tarlac District Engineering Office,28546000
129,6,Tarlac 2nd District Engineering Office,6808000
129,6,Zambales 1st District Engineering Office,8348000
129,6,Zambales 2nd District Engineering Office,3869000
129,5,Region IV-A,235037000
129,6,Batangas 1st District Engineering Office,16440000
129,6,Batangas 2nd District Engineering Office,12378000
129,6,Batangas 3rd District Engineering Office,11459000
129,6,Batangas 4th District Engineering Office,14024000
129,6,Cavite 1st District Engineering Office,18349000
129,6,Cavite 2nd District Engineering Office,13074000
129,6,Cavite 3rd District Engineering Office,13709000
129,6,Laguna 1st District Engineering Office,13664000
129,6,Laguna 2nd District Engineering Office,10247000
129,6,Laguna 3rd District Engineering Office,11956000
129,6,Quezon 1st District Engineering Office,23738000
129,6,Quezon 2nd District Engineering Office,16022000
129,6,Quezon 3rd District Engineering Office,15938000
129,6,Quezon 4th District Engineering Office,15832000
129,6,Rizal 1st District Engineering Office,13629000
129,6,Rizal 2nd District Engineering Office,14578000
129,5,MIMAROPA Region,115126000
129,6,Marinduque District Engineering Office,9537000
129,6,Mindoro Occidental District Engineering Office,16576000
129,6,Mindoro Oriental District Engineering Office,11856000
129,6,Palawan 1st District Engineering Office,19236000
129,6,Palawan 2nd District Engineering Office,20169000
129,6,Palawan 3rd District Engineering Office,12869000
130,6,Romblon District Engineering Office,12542000
130,6,Southern Mindoro District Engineering Office,12341000
130,5,Region V,163029000
130,6,Albay 1st District Engineering Office,9507000
130,6,Albay 2nd District Engineering Office,9803000
130,6,Albay 3rd District Engineering Office,12132000
130,6,Camarines Norte District Engineering Office,12698000
130,6,Camarines Norte Sub-District Engineering Office,8974000
130,6,Camarines Sur 1st District Engineering Office,8692000
130,6,Camarines Sur 2nd District Engineering Office,6168000
130,6,Camarines Sur 3rd District Engineering Office,9546000
130,6,Camarines Sur 4th District Engineering Office,12081000
130,6,Camarines Sur 5th District Engineering Office,10084000
130,6,Catanduanes District Engineering Office,11102000
130,6,Masbate 1st District Engineering Office,3928000
130,6,Masbate 2nd District Engineering Office,11181000
130,6,Masbate 3rd District Engineering Office,10391000
130,6,Sorsogon District Engineering Office,15269000
130,6,Sorsogon 2nd District Engineering Office,11473000
130,5,Region VI,89982000
130,6,Aklan District Engineering Office,10404000
130,6,Antique District Engineering Office,13120000
130,6,Capiz 1st District Engineering Office,6022000
130,6,Capiz 2nd District Engineering Office,11477000
130,6,Guimaras District Engineering Office,4515000
130,6,Iloilo 1st District Engineering Office,6262000
130,6,Iloilo 2nd District Engineering Office,8047000
130,6,Iloilo 3rd District Engineering Office,10809000
130,6,Iloilo 4th District Engineering Office,6903000
130,6,Iloilo City District Engineering Office,4712000
130,6,Iloilo 6th District Engineering Office,7711000
130,5,Negros Island Region,120619000
130,6,Bacolod City District Engineering Office,10125000
130,6,Negros Occidental 1st District Engineering Office,18255000
130,6,Negros Occidental 2nd District Engineering Office,9606000
130,6,Negros Occidental 3rd District Engineering Office,15933000
131,6,Negros Occidental 4th District Engineering Office,13419000
131,6,Negros Occidental 5th District Engineering Office,11173000
131,6,Negros Oriental 1st District Engineering Office,9138000
131,6,Negros Oriental 2nd District Engineering Office,11234000
131,6,Negros Oriental 3rd District Engineering Office,15006000
